File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh),Electricity:Facility [J](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Hourly)
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:36",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,1407459.6,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,1518068795.6779141,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:34",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,350796.85,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,836737155.7780042,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:18",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,384389.99,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,852030369.1815481,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:16",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,1310962.26,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,1313187122.2165155,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:35",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,1409975.66,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,1518068795.6779141,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ14/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ14,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:31",CA_DAGGETT-BARSTOW-DAGGE - USA Custom-723815 WMO#=723815,4644.87,69.56,22.97,0.0,121141.13,249305.1,0.0,177647.52,0.0,201955.38,0.0,0.0,0.0,0.0,0.0,341278.53,0.0,52439.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54275.79,0.0,0.0,831688674.5040381,43.19583333333333
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:12",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,1307997.21,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,1313187122.2165155,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:27",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,1590024.63,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,1483058234.7133307,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:23",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,380397.41,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,845326247.2142634,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:34",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,353842.82,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,784573882.2846655,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:26",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,1553457.49,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,1515667434.2459629,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:22",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,392936.95,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,852030369.1815481,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ15/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ15,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:20",CA_EL-CENTRO-NAF - USA Custom-722810 WMO#=722810,4644.87,74.75,13.94,0.0,174605.3,249305.1,0.0,177647.52,0.0,172592.31,0.0,0.0,0.0,0.0,0.0,371850.45,0.0,16488.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48251.97,0.0,0.0,845326247.2142634,41.99791666666667
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:06",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,341869.63,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,651354875.9273963,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:09",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,351629.72,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,654717340.9160008,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:14",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,1273554.53,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,1341492421.5430176,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:11",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,340758.78,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,650080416.8235755,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:17",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,1276670.4,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,1341492421.5430176,34.792500000000004
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ16/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ16,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:08",CA_BISHOP-AP - USA Custom-724800 WMO#=724800,4644.87,64.63,43.93,0.0,69597.8,249305.1,0.0,177647.52,0.0,230605.37,0.0,0.0,0.0,0.0,0.0,330998.69,0.0,140119.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63946.44,0.0,0.0,646717951.834971,34.792500000000004
