File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Value/Program Version and Build (),Value/Weather File (),Area/Conditioned Total (m2),Electricity Intensity/HVAC (kWh/m2),Natural Gas Intensity/HVAC (kWh/m2),Electricity/Heating (kWh),Electricity/Cooling (kWh),Electricity/Interior Lighting (kWh),Electricity/Exterior Lighting (kWh),Electricity/Interior Equipment (kWh),Electricity/Exterior Equipment (kWh),Electricity/Fans (kWh),Electricity/Pumps (kWh),Electricity/Heat Rejection (kWh),Electricity/Humidification (kWh),Electricity/Heat Recovery (kWh),Electricity/Water Systems (kWh),Electricity/Refrigeration (kWh),Electricity/Generators (kWh),Natural Gas/Heating (kWh),Natural Gas/Cooling (kWh),Natural Gas/Interior Lighting (kWh),Natural Gas/Exterior Lighting (kWh),Natural Gas/Interior Equipment (kWh),Natural Gas/Exterior Equipment (kWh),Natural Gas/Fans (kWh),Natural Gas/Pumps (kWh),Natural Gas/Heat Rejection (kWh),Natural Gas/Humidification (kWh),Natural Gas/Heat Recovery (kWh),Natural Gas/Water Systems (kWh),Natural Gas/Refrigeration (kWh),Natural Gas/Generators (kWh),Electricity:Facility [J](Hourly),Environment:Site Outdoor Air Drybulb Temperature [C](Hourly)
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:30",CA_RED-BLUFF-MUNI-AP - USA Custom-725910 WMO#=725910,4644.87,63.24,35.08,0.0,82760.41,249305.1,0.0,177647.52,0.0,210991.94,0.0,0.0,0.0,0.0,0.0,349883.03,0.0,104040.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58882.46,0.0,0.0,755679475.7966862,39.11875
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:32",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,4644.87,56.49,34.97,0.0,62641.7,249305.1,0.0,177647.52,0.0,199743.72,0.0,0.0,0.0,0.0,0.0,370944.33,0.0,101898.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60511.08,0.0,0.0,738066693.4109076,36.655833333333334
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:32",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,4644.87,56.49,34.97,0.0,62641.7,249305.1,0.0,177647.52,0.0,199743.72,0.0,0.0,0.0,0.0,0.0,380646.16,0.0,101898.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60511.08,0.0,0.0,738066693.4109076,36.655833333333334
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:31",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,4644.87,56.49,34.97,0.0,62641.7,249305.1,0.0,177647.52,0.0,199743.72,0.0,0.0,0.0,0.0,0.0,1197277.61,0.0,101898.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60511.08,0.0,0.0,1406732509.208045,36.655833333333334
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-AirCool/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:31",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,4644.87,56.49,34.97,0.0,62641.7,249305.1,0.0,177647.52,0.0,199743.72,0.0,0.0,0.0,0.0,0.0,1201662.67,0.0,101898.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60511.08,0.0,0.0,1406732509.208045,36.655833333333334
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:32",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,4644.87,56.49,34.97,0.0,62641.7,249305.1,0.0,177647.52,0.0,199743.72,0.0,0.0,0.0,0.0,0.0,367560.76,0.0,101898.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60511.08,0.0,0.0,730972623.6285565,36.655833333333334
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FltSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:32",CA_STOCKTON-METRO-AP - USA Custom-724920 WMO#=724920,4644.87,56.49,34.97,0.0,62641.7,249305.1,0.0,177647.52,0.0,199743.72,0.0,0.0,0.0,0.0,0.0,357858.94,0.0,101898.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60511.08,0.0,0.0,730972623.6285565,36.655833333333334
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-AirCool/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-AirCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:33",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,1348798.81,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,1421781696.9834523,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:34",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,376588.95,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,791726996.5713426,38.405
SWCR007-05 Float Temp Ctrl_Ex/runs/CZ13/Gro&0&cDXGF&Ex&Ref_Storage__RefControl/NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan/instance-out.sql,CZ13,Gro,0,cDXGF,Ex,Ref_Storage,RefControl,NE-Ref_Storage-RefControl-FixSucTemp-EvapCool-VSDFan,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2024.05.03 23:35",CA_FRESNO-YOSEMITE-IAP - USA Custom-723890 WMO#=723890,4644.87,62.17,29.98,0.0,91415.83,249305.1,0.0,177647.52,0.0,197352.42,0.0,0.0,0.0,0.0,0.0,366812.07,0.0,82069.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57190.41,0.0,0.0,791726996.5713426,38.405
